Name,Latitude,Longitude,Rating,Number of Reviews,Affluence level/Price
Bukhara Restaurant,23.7935901,90.4056861,4.2,712,unavilable
Star Kebab & Restaurant,23.7932198,90.4028846,4.2,16996,$$
Paturi,23.789739,90.407389,4.2,680,$$
Tarka,23.7903658,90.4066313,4,1785,$$
bbq Bangladesh,23.7498091,90.3686446,4.2,1762,$$
Lucknow Dhaka,23.7932535,90.40918339999999,4.2,1432,$$$
বাংলা ভাতের রেস্টুরেন্ট,23.7623477,90.3672608,2.6,5,$
Sajna Restaurant,23.7902795,90.4069719,4.1,1825,$$
Jatra Biroti Restaurant,23.7932385,90.4091582,4.2,2267,$$$
Takeout Banani,23.7931073,90.40574869999999,4.4,5433,$$
Yum Cha District,23.7901743,90.40805329999999,4.5,2815,$$
Zaytun Restaurant,23.778819,90.38020809999999,3.9,974,$$
Istanbul Restaurant Dhaka,23.7957609,90.4133504,4,1529,$$
Nizam Restaurant,23.7840866,90.39958469999999,3.3,9,unavilable
নওয়াব চাঁটগা,23.7806519,90.4157662,4.1,1891,$$
Thai Garden Chinese & Thai Restaurant,23.7913246,90.3876342,4,878,$$
Bella Italia,23.7861087,90.41676509999999,4.3,1530,$$
Bistro-E,23.7960059,90.41745999999999,4.5,1284,$$$
The Manhattan FISH MARKET Bangladesh,23.7936036,90.4051009,4.3,3746,$$$
Aaheli Kabab,23.792951,90.4066165,4.1,430,unavilable
